COMBINE ST & NAME,total pymts,,Lot,Total Paid,DIFF,,Roads,SewerTransmission,SewerCapacity,Parks,Stormwater,OpenSpace,chk
2269 Market Garden Lane,743.81,,"2269 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2272 Market Garden Lane,743.81,,"2272 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2273 Market Garden Lane,743.81,,"2273 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2276 Market Garden Lane,743.81,,"2276 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2277 Market Garden Lane,743.81,,"2277 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2280 Market Garden Lane,743.81,,"2280 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2281 Market Garden Lane,743.81,,"2281 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2284 Market Garden Lane,743.81,,"2284 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2285 Market Garden Lane,743.81,,"2285 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2288 Market Garden Lane,743.81,,"2288 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2289 Market Garden Lane,743.81,,"2289 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2292 Market Garden Lane,743.81,,"2292 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2293 Market Garden Lane,743.81,,"2293 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2296 Market Garden Lane,743.81,,"2296 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2297 Market Garden Lane,743.81,,"2297 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2300 Market Garden Lane,743.81,,"2300 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2301 Market Garden Lane,743.81,,"2301 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2304 Market Garden Lane,743.81,,"2304 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2305 Market Garden Lane,743.81,,"2305 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2308 Market Garden Lane,743.81,,"2308 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2312 Market Garden Lane,743.81,,"2312 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2316 Market Garden Lane,743.81,,"2316 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2320 Market Garden Lane,743.81,,"2320 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2324 Market Garden Lane,743.81,,"2324 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2329 Market Garden Lane,743.81,,"2329 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2900 Polo Club Boulevard,743.81,,"2900 Polo Club Boulevard  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2904 Polo Club Boulevard,743.81,,"2904 Polo Club Boulevard  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2908 Polo Club Boulevard,743.81,,"2908 Polo Club Boulevard  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2912 Polo Club Boulevard,743.81,,"2912 Polo Club Boulevard  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2916 Polo Club Boulevard,743.81,,"2916 Polo Club Boulevard  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2924 Polo Club Boulevard,743.81,,"2924 Polo Club Boulevard  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2928 Polo Club Boulevard,743.81,,"2928 Polo Club Boulevard  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2932 Polo Club Boulevard,743.81,,"2932 Polo Club Boulevard  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2936 Polo Club Boulevard,743.81,,"2936 Polo Club Boulevard  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
3001 Sewanee Lane,743.81,,"3001 Sewanee Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
3004 Sewanee Lane,743.81,,"3004 Sewanee Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
3005 Old House Road,743.81,,"3005 Old House Road  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
3005 Roundway Down Lane,743.81,,"3005 Roundway Down Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
3173 Roundway Down Lane,743.81,,"3173 Roundway Down Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
3304 Old House Road,743.81,,"3304 Old House Road  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
3001 Roundway Down Lane,662.72,,"3001 Roundway Down Lane  Lexington, KY",$517.68 ,$145.04 ,,,371.17,291.55,,,,0.000000000000113686837721616
3381 Sweet Clover Lane,343.46,,"3381 Sweet Clover Lane  Lexington, KY",$680.20 ,($336.74),,,343.46,,,,,0
2184 Millstone Way,343.45,,"2184 Millstone Way  Lexington, KY",$680.20 ,($336.75),,,343.45,,,,,0
2200 Ice House Way,783.71,,"2200 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2201 Ice House Way,783.71,,"2201 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2204 Ice House Way,783.71,,"2204 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2205 Pokeberry Park,783.71,,"2205 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2208 Ice House Way,783.71,,"2208 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2208 Pokeberry Park,783.71,,"2208 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2209 Ice House Way,783.71,,"2209 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2209 Pokeberry Park,783.71,,"2209 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2212 Ice House Way,783.71,,"2212 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
