Address,Roads,SewerTransmission,SewerCapacity,Parks,Stormwater,OpenSpace,PLAT,RES
269 Richardson Place,1409.2,1414.19,438.79,253.8,1194.84,200,M-70,SWR & NSWR RES282-2002
272 Jane Briggs Avenue,1409.2,1414.19,438.79,253.8,1194.84,200,M-70,SWR & NSWR RES282-2002
2977 Constantine Avenue,2978.96,1398.52,720.86,988.84,1203.66,328.58,M-513,SWR MEMO 12-10-02;NSWR MEMO 10-08-04
3936 Tatton Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-502,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3944 Tatton Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-502,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3960 Tatton Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-502,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3968 Tatton Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-502,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3969 Tatton Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-502,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3973 Tatton Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-502,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3976 Tatton Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-502,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3977 Tatton Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-502,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3984 Tatton Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-502,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3985 Tatton Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-502,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3997 Branham Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-502,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
200 Kelburn Court,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-493,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
201 Kelburn Court,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-493,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
209 Kelburn Court,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-493,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3925 Branham Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-493,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3937 Branham Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-493,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3953 Branham Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-493,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3961 Branham Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-493,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3985 Branham Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-493,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3993 Branham Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-493,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
260 Grassland Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-492,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
261 Grassland Park,,416.91,439.82,,,,M-492,SWR MEMO 7-28-04
268 Grassland Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-492,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
276 Grassland Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-492,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
277 Grassland Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-492,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
284 Grassland Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-492,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
285 Grassland Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-492,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3881 Branham Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-492,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3889 Branham Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-492,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3909 Branham Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-492,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3917 Branham Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-492,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
200 Grassland Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-491,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
201 Grassland Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-491,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
208 Grassland Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-491,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
209 Grassland Park,,1417.51,439.82,,677.1,,M-491,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
216 Grassland Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-491,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
224 Grassland Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-491,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
225 Grassland Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-491,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
232 Grassland Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-491,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
240 Grassland Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-491,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
248 Grassland Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-491,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
249 Grassland Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-491,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
257 Grassland Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-491,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3920 Tatton Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-491,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
189 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
193 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
197 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
197 Somersly Place,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
