Address,entry_date,,,,
2177 Shaker Run Road,1/19/06,,,,
2180 Shaker Run Road,2/10/00,,,,
2181 Millstone Way,9/29/05,,,,
2181 Shaker Run Road,1/19/06,,,,
2184 Millstone Way,8/30/16,,,,
2185 Shaker Run Road,1/19/06,,,,
2188 Ice House Way,9/29/05,,,,
2189 Ice House Way,9/29/05,,,,
2189 Shaker Run Road,1/19/06,,,,
2192 Ice House Way,12/31/99,,,,
2193 Birkdale Drive,3/30/00,,,,
2193 Ice House Way,9/29/05,,,,
2193 Shaker Run Road,1/19/06,,,,
2200 Ice House Way,3/24/08,,,,
2201 Barrington Lane,2/8/00,,,,
2201 Ice House Way,3/17/08,,,,
2204 Barrington Lane,1/19/06,,,,
2204 Ice House Way,4/30/08,,,,
2204 Shaker Run Road,10/26/00,,,,
2205 Pokeberry Park,6/30/08,,,,
2205 Shaker Run Road,1/19/06,,,,
2208 Dunhill Lane,11/3/00,,,,
2208 Ice House Way,11/8/07,,,,
2208 Pokeberry Park,2/4/08,,,,
2208 Shaker Run Road,12/20/01,,,,
2209 Barrington Lane,3/15/00,,,,
2209 Ice House Way,12/5/07,,,,
2209 Pokeberry Park,9/23/09,,,,
2209 Shaker Run Road,8/24/00,,,,
2212 Barrington Lane,1/19/06,,,,
2212 Dunhill Lane,4/27/00,,,,
2212 Ice House Way,11/8/07,,,,
2212 Pokeberry Park,7/10/09,,,,
2212 Shaker Run Road,12/20/01,,,,
2213 Dunhill Lane,6/13/02,,,,
2213 Ice House Way,7/28/08,,,,
2213 Pokeberry Park,3/23/10,,,,
2213 Shaker Run Road,4/27/00,,,,
2216 Barrington Lane,2/17/00,,,,
2216 Ice House Way,11/23/09,,,,
2216 Pokeberry Park,7/10/09,,,,
2217 Dunhill Lane,5/21/01,,,,
2217 Ice House Way,7/10/09,,,,
2217 Pokeberry Park,8/11/10,,,,
2217 Shaker Run Road,5/21/01,,,,
2220 Dunhill Lane,4/12/00,,,,
2220 Ice House Way,12/18/09,,,,
2220 Pokeberry Park,7/10/09,,,,
2221 Barrington Lane,3/29/00,,,,
2221 Ice House Way,7/15/09,,,,
2221 Pokeberry Park,8/13/10,,,,
2221 Shaker Run Road,2/15/00,,,,
2224 Ice House Way,3/27/09,,,,
2224 Pokeberry Park,7/21/14,,,,
2225 Barrington Lane,2/17/00,,,,
2225 Blackmoor Park Lane,7/10/01,,,,
2225 Ice House Way,5/27/10,,,,
2225 Pokeberry Park,3/23/10,,,,
2225 Shaker Run Road,7/31/00,,,,
2228 Pokeberry Park,11/27/13,,,,
2228 Shaker Run Road,1/9/02,,,,
2229 Ice House Way,11/24/10,,,,
2229 Pokeberry Park,10/10/08,,,,
2229 Shaker Run Road,7/31/00,,,,
2232 Ice House Way,11/9/07,,,,
2232 Pokeberry Park,1/10/11,,,,
2233 Pokeberry Park,11/1/07,,,,
2233 Shaker Run Road,6/13/02,,,,
2236 Ice House Way,4/30/08,,,,
2236 Pokeberry Park,3/15/12,,,,
2237 Ice House Way,4/13/10,,,,
2237 Pokeberry Park,12/17/08,,,,
2240 Ice House Way,9/14/09,,,,
2240 Pokeberry Park,3/12/15,,,,
2241 Blackmoor Park Lane,3/29/00,,,,
2241 Ice House Way,3/15/10,,,,
